,Invoice_Date,Vehicle_Model,Current_KM_Reading,INVOICE_LINE_TEXT,year,month,day,weekday
0,2017-05-30,2,50000.0,148,2017,5,150,1
1,2017-06-02,18,758.0,148,2017,6,153,4
2,2017-06-02,18,758.0,346,2017,6,153,4
3,2017-06-02,18,758.0,108,2017,6,153,4
4,2017-06-02,18,758.0,109,2017,6,153,4
5,2017-06-02,18,758.0,76,2017,6,153,4
6,2017-06-02,18,758.0,3,2017,6,153,4
7,2017-05-31,11,3717.0,148,2017,5,151,2
8,2017-05-31,11,3717.0,2,2017,5,151,2
9,2017-05-31,11,3717.0,76,2017,5,151,2
10,2017-05-31,20,2800.0,209,2017,5,151,2
11,2017-05-31,20,2800.0,148,2017,5,151,2
12,2017-05-31,20,7854.0,318,2017,5,151,2
13,2017-05-31,20,7854.0,148,2017,5,151,2
14,2017-05-31,12,5391.0,148,2017,5,151,2
15,2017-05-31,12,5391.0,2,2017,5,151,2
16,2017-05-31,12,5391.0,76,2017,5,151,2
17,2017-06-03,14,25000.0,257,2017,6,154,5
18,2017-06-03,14,25000.0,245,2017,6,154,5
19,2017-06-03,14,25000.0,464,2017,6,154,5
20,2017-06-03,14,25000.0,453,2017,6,154,5
21,2017-06-03,14,25000.0,166,2017,6,154,5
22,2017-06-03,14,25000.0,285,2017,6,154,5
23,2017-06-03,14,25000.0,463,2017,6,154,5
24,2017-06-03,14,25000.0,128,2017,6,154,5
25,2017-06-03,14,25000.0,280,2017,6,154,5
26,2017-06-03,14,25000.0,329,2017,6,154,5
27,2017-06-03,14,25000.0,455,2017,6,154,5
28,2017-06-03,14,25000.0,451,2017,6,154,5
29,2017-06-03,14,25000.0,85,2017,6,154,5
30,2017-06-03,14,25000.0,148,2017,6,154,5
31,2017-06-03,14,25000.0,84,2017,6,154,5
32,2017-06-03,14,25000.0,465,2017,6,154,5
33,2017-06-03,14,25000.0,407,2017,6,154,5
34,2017-06-03,14,25000.0,324,2017,6,154,5
35,2017-06-03,14,25000.0,31,2017,6,154,5
36,2017-06-03,14,25000.0,10,2017,6,154,5
37,2017-06-03,14,25000.0,246,2017,6,154,5
38,2017-06-03,14,25000.0,86,2017,6,154,5
39,2017-06-03,14,25000.0,115,2017,6,154,5
40,2017-06-03,14,25000.0,128,2017,6,154,5
41,2017-06-05,12,41458.0,33,2017,6,156,0
42,2017-06-05,12,41458.0,209,2017,6,156,0
43,2017-06-05,12,41458.0,33,2017,6,156,0
44,2017-06-05,12,41458.0,246,2017,6,156,0
45,2017-06-01,13,8079.0,2,2017,6,152,3
46,2017-06-01,13,8079.0,76,2017,6,152,3
47,2017-06-01,13,8079.0,46,2017,6,152,3
48,2017-06-01,13,8079.0,148,2017,6,152,3
49,2017-06-01,13,8079.0,11,2017,6,152,3
50,2017-06-01,12,5500.0,148,2017,6,152,3
51,2017-06-01,12,5500.0,11,2017,6,152,3
52,2017-06-01,12,5500.0,76,2017,6,152,3
53,2017-06-01,12,5500.0,140,2017,6,152,3
54,2017-06-01,12,5500.0,444,2017,6,152,3
55,2017-06-01,12,5500.0,2,2017,6,152,3
56,2017-06-01,12,523.0,2,2017,6,152,3
57,2017-06-01,12,523.0,76,2017,6,152,3
58,2017-06-01,12,523.0,148,2017,6,152,3
59,2017-06-01,2,2750.0,148,2017,6,152,3
60,2017-06-01,2,2750.0,2,2017,6,152,3
61,2017-06-01,2,2750.0,171,2017,6,152,3
62,2017-06-01,2,2750.0,76,2017,6,152,3
63,2017-06-01,20,45421.0,209,2017,6,152,3
64,2017-06-01,20,45421.0,148,2017,6,152,3
65,2017-06-01,14,4845.0,148,2017,6,152,3
66,2017-06-01,14,4845.0,76,2017,6,152,3
67,2017-06-01,14,4845.0,2,2017,6,152,3
68,2017-06-01,14,4845.0,11,2017,6,152,3
69,2017-06-01,14,25000.0,209,2017,6,152,3
70,2017-06-01,0,5214.0,148,2017,6,152,3
71,2017-06-02,14,58969.0,257,2017,6,153,4
72,2017-06-02,14,58969.0,206,2017,6,153,4
73,2017-06-02,14,58969.0,90,2017,6,153,4
74,2017-06-02,14,58969.0,148,2017,6,153,4
75,2017-06-02,14,58969.0,258,2017,6,153,4
76,2017-06-02,14,58969.0,199,2017,6,153,4
77,2017-06-01,12,39421.0,227,2017,6,152,3
78,2017-06-01,12,39421.0,117,2017,6,152,3
79,2017-06-01,12,39421.0,176,2017,6,152,3
80,2017-06-01,12,39421.0,171,2017,6,152,3
81,2017-06-01,12,39421.0,174,2017,6,152,3
82,2017-06-01,12,39421.0,392,2017,6,152,3
83,2017-06-01,12,39421.0,466,2017,6,152,3
84,2017-06-01,12,39421.0,172,2017,6,152,3
85,2017-06-01,12,39421.0,237,2017,6,152,3
86,2017-06-01,12,39421.0,441,2017,6,152,3
87,2017-06-01,12,39421.0,120,2017,6,152,3
88,2017-06-01,12,39421.0,124,2017,6,152,3
89,2017-06-01,12,39421.0,61,2017,6,152,3
90,2017-06-02,11,3510.0,148,2017,6,153,4
